CCTV1HD,rtp://225.1.8.1:8008
CCTV2HD,rtp://225.1.8.2:8084
CCTV3HD,rtp://225.1.8.88:8000
CCTV4HD,rtp://225.1.8.4:8092
CCTV5HD,rtp://225.1.8.89:8000
CCTV5+HD,rtp://225.1.8.20:8004
CCTV6HD,rtp://225.1.8.84:8000
CCTV7HD,rtp://225.1.8.7:8104
CCTV8HD,rtp://225.1.8.85:8000
CCTV9HD,rtp://225.1.8.9:8112
CCTV10HD,rtp://225.1.8.10:8116
CCTV11HD,rtp://225.1.8.73:8120
CCTV12HD,rtp://225.1.8.12:8124
CCTV13HD,rtp://225.1.8.168:8130
CCTV14HD,rtp://225.1.8.14:8132
CCTV15HD,rtp://225.1.8.74:8136
CCTV17HD,rtp://225.1.8.17:8144
CETV1,rtp://225.1.8.32:8152
北京文艺,rtp://225.1.8.22:8002
北京科教,rtp://225.1.8.105:8002
北京影视,rtp://225.1.8.82:8000
北京财经,rtp://225.1.8.106:8002
北京冬奥纪实,rtp://225.1.8.23:8002
北京生活,rtp://225.1.8.108:8002
北京青年,rtp://225.1.8.118:8002

