BRTV北京卫视,rtp://228.1.1.115:8000
BRTV新闻,rtp://228.1.1.189:8000
BRTV影视,rtp://228.1.1.190:8000
BRTV文艺,rtp://228.1.1.116:8000
BRTV财经,rtp://228.1.1.197:8000
BRTV生活,rtp://228.1.1.198:8000
BRTV青年,rtp://228.1.1.199:8000
BRTV纪实科教,rtp://228.1.1.196:8000
BRTV卡酷少儿,rtp://228.1.1.195:8000
BRTV体育休闲,rtp://228.1.1.117:8000
BRTV国际频道,rtp://228.1.1.111:8000
CCTV-1,rtp://228.1.1.28:8008
CCTV-2,rtp://228.1.1.24:8084
CCTV-3,rtp://228.1.1.191:8002
CCTV-4,rtp://228.1.1.25:8092
CCTV-4欧洲,rtp://228.1.1.213:4220
CCTV-4美洲,rtp://228.1.1.203:4220
CCTV-5,rtp://228.1.1.192:8002
CCTV-5+,rtp://228.1.1.23:8004
CCTV-6,rtp://228.1.1.193:8002
